time,pco2_in_sea_water,pco2_in_sea_water_qc_agg,z
UTC,microatm,,m
2007-07-28T09:16:00Z,425.7,2,0.0
2007-07-28T12:16:00Z,427.8,2,0.0
2007-07-28T15:16:00Z,430.8,2,0.0
2007-07-28T18:16:00Z,436.0,2,0.0
2007-07-28T21:16:00Z,425.5,2,0.0
2007-07-29T00:16:00Z,413.7,2,0.0
2007-07-29T03:16:00Z,419.3,2,0.0
2007-07-29T06:16:00Z,419.8,2,0.0
2007-07-29T09:16:00Z,422.3,2,0.0
2007-07-29T12:16:00Z,437.9,2,0.0
2007-07-29T15:16:00Z,429.1,2,0.0
2007-07-29T18:16:00Z,434.5,2,0.0
2007-07-29T21:16:00Z,431.9,2,0.0
2007-07-30T00:16:00Z,426.7,2,0.0
2007-07-30T03:16:00Z,427.1,2,0.0
2007-07-30T06:16:00Z,419.5,2,0.0
2007-07-30T09:16:00Z,425.5,2,0.0
2007-07-30T12:16:00Z,438.5,2,0.0
2007-07-30T15:16:00Z,430.3,2,0.0
2007-07-30T18:16:00Z,429.1,2,0.0
2007-07-30T21:16:00Z,421.8,2,0.0
2007-07-31T00:16:00Z,425.1,2,0.0
2007-07-31T03:16:00Z,426.1,2,0.0
2007-07-31T06:16:00Z,403.4,2,0.0
2007-07-31T09:16:00Z,420.8,2,0.0
2007-07-31T12:16:00Z,424.7,2,0.0
2007-07-31T15:16:00Z,426.8,2,0.0
2007-07-31T18:16:00Z,416.5,2,0.0
2007-07-31T21:16:00Z,421.1,2,0.0
2007-08-01T00:16:00Z,427.6,2,0.0
2007-08-01T03:16:00Z,424.2,2,0.0
2007-08-01T06:16:00Z,423.8,2,0.0
2007-08-01T09:16:00Z,427.4,2,0.0
2007-08-01T12:16:00Z,436.0,2,0.0
2007-08-01T15:16:00Z,439.1,2,0.0
2007-08-01T18:16:00Z,434.2,2,0.0
2007-08-01T21:16:00Z,430.3,2,0.0
2007-08-02T00:16:00Z,434.5,2,0.0
2007-08-02T03:16:00Z,438.9,2,0.0
2007-08-02T06:16:00Z,435.7,2,0.0
2007-08-02T09:16:00Z,439.7,2,0.0
2007-08-02T12:16:00Z,450.1,2,0.0
2007-08-02T15:16:00Z,459.6,2,0.0
2007-08-02T18:16:00Z,448.2,2,0.0
2007-08-02T21:16:00Z,449.8,2,0.0
2007-08-03T00:16:00Z,450.8,2,0.0
2007-08-03T03:16:00Z,454.4,2,0.0
2007-08-03T06:16:00Z,453.3,2,0.0
2007-08-03T09:16:00Z,455.1,2,0.0
2007-08-03T12:16:00Z,460.8,2,0.0
