time,sea_water_temperature,sea_water_temperature_qc_agg,z
UTC,degree_Celsius,,m
2015-08-30T21:17:00Z,29.15,2,0.0
2015-08-31T00:17:00Z,29.145,2,0.0
2015-08-31T03:17:00Z,29.098,2,0.0
2015-08-31T06:17:00Z,29.124,2,0.0
2015-08-31T09:17:00Z,29.037,2,0.0
2015-08-31T12:17:00Z,29.017,2,0.0
2015-08-31T15:17:00Z,29.133,2,0.0
2015-08-31T18:17:00Z,29.391,2,0.0
2015-08-31T21:17:00Z,29.793,2,0.0
2015-09-01T00:17:00Z,29.428,2,0.0
2015-09-01T03:17:00Z,29.176,2,0.0
2015-09-01T06:17:00Z,29.197,2,0.0
2015-09-01T09:17:00Z,29.249,2,0.0
2015-09-01T12:17:00Z,29.195,2,0.0
2015-09-01T15:17:00Z,29.142,2,0.0
2015-09-01T18:17:00Z,29.147,2,0.0
2015-09-01T21:17:00Z,29.094,2,0.0
2015-09-02T00:17:00Z,29.163,2,0.0
2015-09-02T03:17:00Z,29.121,2,0.0
2015-09-02T06:17:00Z,29.099,2,0.0
2015-09-02T09:17:00Z,29.053,2,0.0
2015-09-02T12:17:00Z,29.099,2,0.0
2015-09-02T15:17:00Z,29.061,2,0.0
2015-09-02T18:17:00Z,28.99,2,0.0
2015-09-02T21:17:00Z,28.964,2,0.0
2015-09-03T00:17:00Z,28.834,2,0.0
2015-09-03T03:17:00Z,28.975,2,0.0
2015-09-03T06:17:00Z,29.004,2,0.0
2015-09-03T09:17:00Z,28.924,2,0.0
2015-09-03T12:17:00Z,28.791,2,0.0
2015-09-03T15:17:00Z,28.885,2,0.0
2015-09-03T18:17:00Z,29.026,2,0.0
2015-09-03T21:17:00Z,29.067,2,0.0
2015-09-04T00:17:00Z,29.011,2,0.0
2015-09-04T03:17:00Z,28.946,2,0.0
2015-09-04T06:17:00Z,28.917,2,0.0
2015-09-04T09:17:00Z,28.939,2,0.0
2015-09-04T12:17:00Z,28.895,2,0.0
2015-09-04T15:17:00Z,28.956,2,0.0
2015-09-04T18:17:00Z,29.453,2,0.0
2015-09-04T21:17:00Z,29.604,2,0.0
2015-09-05T00:17:00Z,29.642,2,0.0
2015-09-05T03:17:00Z,29.472,2,0.0
2015-09-05T06:17:00Z,29.163,2,0.0
2015-09-05T09:17:00Z,29.044,2,0.0
2015-09-05T12:17:00Z,29.049,2,0.0
2015-09-05T15:17:00Z,28.916,2,0.0
2015-09-05T18:17:00Z,28.983,2,0.0
2015-09-05T21:17:00Z,29.203,2,0.0
2015-09-06T00:17:00Z,29.053,2,0.0
2015-09-06T03:17:00Z,28.964,2,0.0
2015-09-06T06:17:00Z,28.915,2,0.0
2015-09-06T09:17:00Z,28.865,2,0.0
2015-09-06T12:17:00Z,28.881,2,0.0
2015-09-06T15:17:00Z,28.877,2,0.0
2015-09-06T18:17:00Z,28.773,2,0.0
2015-09-06T21:17:00Z,28.733,2,0.0
2015-09-07T00:17:00Z,28.718,2,0.0
2015-09-07T03:17:00Z,28.721,2,0.0
2015-09-07T06:17:00Z,28.551,2,0.0
2015-09-07T09:17:00Z,28.533,2,0.0
2015-09-07T12:17:00Z,28.535,2,0.0
2015-09-07T15:17:00Z,28.636,2,0.0
2015-09-07T18:17:00Z,28.856,2,0.0
2015-09-07T21:17:00Z,28.866,2,0.0
2015-09-08T00:17:00Z,28.792,2,0.0
2015-09-08T03:17:00Z,28.573,2,0.0
2015-09-08T06:17:00Z,28.601,2,0.0
2015-09-08T09:17:00Z,28.631,2,0.0
2015-09-08T12:17:00Z,28.553,2,0.0
2015-09-08T15:17:00Z,28.634,2,0.0
2015-09-08T18:17:00Z,28.777,2,0.0
2015-09-08T21:17:00Z,28.806,2,0.0
2015-09-09T00:17:00Z,28.644,2,0.0
2015-09-09T03:17:00Z,28.644,2,0.0
2015-09-09T06:17:00Z,28.586,2,0.0
2015-09-09T09:17:00Z,28.597,2,0.0
2015-09-09T12:17:00Z,28.619,2,0.0
2015-09-09T15:17:00Z,28.664,2,0.0
2015-09-09T18:17:00Z,29.083,2,0.0
2015-09-09T21:17:00Z,29.024,2,0.0
2015-09-10T00:17:00Z,28.876,2,0.0
2015-09-10T03:17:00Z,28.973,2,0.0
2015-09-10T06:17:00Z,28.816,2,0.0
2015-09-10T09:17:00Z,28.737,2,0.0
2015-09-10T12:17:00Z,28.701,2,0.0
2015-09-10T15:17:00Z,28.635,2,0.0
2015-09-10T18:17:00Z,28.745,2,0.0
2015-09-10T21:17:00Z,28.835,2,0.0
2015-09-11T00:17:00Z,28.904,2,0.0
2015-09-11T03:17:00Z,28.792,2,0.0
2015-09-11T06:17:00Z,28.753,2,0.0
2015-09-11T09:17:00Z,28.698,2,0.0
2015-09-11T12:17:00Z,28.614,2,0.0
2015-09-11T15:17:00Z,28.653,2,0.0
2015-09-11T18:17:00Z,28.768,2,0.0
2015-09-11T21:17:00Z,28.974,2,0.0
2015-09-12T00:17:00Z,28.912,2,0.0
2015-09-12T03:17:00Z,28.863,2,0.0
2015-09-12T06:17:00Z,28.707,2,0.0
2015-09-12T09:17:00Z,28.585,2,0.0
2015-09-12T12:17:00Z,28.529,2,0.0
2015-09-12T15:17:00Z,28.443,2,0.0
2015-09-12T18:17:00Z,28.519,2,0.0
2015-09-12T21:17:00Z,28.395,2,0.0
2015-09-13T00:17:00Z,28.398,2,0.0
2015-09-13T03:17:00Z,28.367,2,0.0
2015-09-13T06:17:00Z,28.331,2,0.0
2015-09-13T09:17:00Z,28.364,2,0.0
2015-09-13T12:17:00Z,28.244,2,0.0
2015-09-13T15:17:00Z,28.27,2,0.0
2015-09-13T18:17:00Z,28.486,2,0.0
2015-09-13T21:17:00Z,28.265,2,0.0
2015-09-14T00:17:00Z,28.118,2,0.0
2015-09-14T03:17:00Z,28.079,2,0.0
2015-09-14T06:17:00Z,28.297,2,0.0
2015-09-14T09:17:00Z,28.29,2,0.0
2015-09-14T12:17:00Z,28.169,2,0.0
2015-09-14T15:17:00Z,28.232,2,0.0
2015-09-14T18:17:00Z,28.378,2,0.0
2015-09-14T21:17:00Z,28.23,2,0.0
2015-09-15T00:17:00Z,28.198,2,0.0
2015-09-15T03:17:00Z,28.14,2,0.0
2015-09-15T06:17:00Z,28.003,2,0.0
2015-09-15T09:17:00Z,28.009,2,0.0
2015-09-15T12:17:00Z,27.969,2,0.0
2015-09-15T15:17:00Z,28.011,2,0.0
2015-09-15T18:17:00Z,27.915,2,0.0
2015-09-15T21:17:00Z,27.872,2,0.0
2015-09-16T00:17:00Z,27.882,2,0.0
2015-09-16T03:17:00Z,27.891,2,0.0
2015-09-16T06:17:00Z,27.748,2,0.0
2015-09-16T09:17:00Z,27.684,2,0.0
2015-09-16T12:17:00Z,27.747,2,0.0
2015-09-16T15:17:00Z,27.774,2,0.0
2015-09-16T18:17:00Z,27.657,2,0.0
2015-09-16T21:17:00Z,27.475,2,0.0
2015-09-17T00:17:00Z,27.638,2,0.0
2015-09-17T03:17:00Z,27.669,2,0.0
2015-09-17T06:17:00Z,27.604,2,0.0
2015-09-17T09:17:00Z,27.504,2,0.0
2015-09-17T12:17:00Z,27.479,2,0.0
2015-09-17T15:17:00Z,27.513,2,0.0
2015-09-17T18:17:00Z,27.482,2,0.0
2015-09-17T21:17:00Z,27.47,2,0.0
2015-09-18T00:17:00Z,27.445,2,0.0
2015-09-18T03:17:00Z,27.46,2,0.0
2015-09-18T06:17:00Z,27.395,2,0.0
2015-09-18T09:17:00Z,27.302,2,0.0
2015-09-18T12:17:00Z,27.226,2,0.0
2015-09-18T15:17:00Z,27.277,2,0.0
2015-09-18T18:17:00Z,27.256,2,0.0
2015-09-18T21:17:00Z,27.134,2,0.0
2015-09-19T00:17:00Z,27.051,2,0.0
2015-09-19T03:17:00Z,27.033,2,0.0
2015-09-19T06:17:00Z,27.058,2,0.0
2015-09-19T09:17:00Z,26.94,2,0.0
2015-09-19T12:17:00Z,26.882,2,0.0
2015-09-19T15:17:00Z,26.946,2,0.0
2015-09-19T18:17:00Z,27.073,2,0.0
2015-09-19T21:17:00Z,27.124,2,0.0
2015-09-20T00:17:00Z,27.041,2,0.0
2015-09-20T03:17:00Z,27.044,2,0.0
2015-09-20T06:17:00Z,27.018,2,0.0
2015-09-20T09:17:00Z,26.971,2,0.0
2015-09-20T12:17:00Z,26.954,2,0.0
2015-09-20T15:17:00Z,27.186,2,0.0
2015-09-20T18:17:00Z,27.584,2,0.0
2015-09-20T21:17:00Z,27.727,2,0.0
2015-09-21T00:17:00Z,27.871,2,0.0
2015-09-21T03:17:00Z,27.397,2,0.0
2015-09-21T06:17:00Z,27.219,2,0.0
2015-09-21T09:17:00Z,27.105,2,0.0
2015-09-21T12:17:00Z,27.012,2,0.0
2015-09-21T15:17:00Z,27.17,2,0.0
2015-09-21T18:17:00Z,27.552,2,0.0
2015-09-21T21:17:00Z,27.583,2,0.0
2015-09-22T00:17:00Z,27.344,2,0.0
2015-09-22T03:17:00Z,27.203,2,0.0
2015-09-22T06:17:00Z,27.202,2,0.0
2015-09-22T09:17:00Z,27.153,2,0.0
2015-09-22T12:17:00Z,27.089,2,0.0
2015-09-22T15:17:00Z,27.116,2,0.0
2015-09-22T18:17:00Z,27.139,2,0.0
2015-09-22T21:17:00Z,27.167,2,0.0
2015-09-23T00:17:00Z,27.149,2,0.0
2015-09-23T03:17:00Z,27.057,2,0.0
2015-09-23T06:17:00Z,27.051,2,0.0
2015-09-23T09:17:00Z,27.024,2,0.0
2015-09-23T12:17:00Z,26.919,2,0.0
2015-09-23T15:17:00Z,26.876,2,0.0
2015-09-23T18:17:00Z,26.898,2,0.0
2015-09-23T21:17:00Z,26.856,2,0.0
2015-09-24T00:17:00Z,26.846,2,0.0
2015-09-24T03:17:00Z,26.752,2,0.0
2015-09-24T06:17:00Z,26.725,2,0.0
2015-09-24T09:17:00Z,26.71,2,0.0
2015-09-24T12:17:00Z,26.654,2,0.0
2015-09-24T15:17:00Z,26.474,2,0.0
2015-09-24T18:17:00Z,26.499,2,0.0
2015-09-24T21:17:00Z,26.485,2,0.0
2015-09-25T00:17:00Z,26.422,2,0.0
2015-09-25T03:17:00Z,26.327,2,0.0
2015-09-25T06:17:00Z,26.309,2,0.0
2015-09-25T09:17:00Z,26.271,2,0.0
2015-09-25T12:17:00Z,26.265,2,0.0
2015-09-25T15:17:00Z,26.242,2,0.0
2015-09-25T18:17:00Z,26.41,2,0.0
2015-09-25T21:17:00Z,26.757,2,0.0
2015-09-26T00:17:00Z,26.467,2,0.0
2015-09-26T03:17:00Z,26.293,2,0.0
2015-09-26T06:17:00Z,26.302,2,0.0
2015-09-26T09:17:00Z,26.301,2,0.0
2015-09-26T12:17:00Z,26.287,2,0.0
2015-09-26T15:17:00Z,26.282,2,0.0
2015-09-26T18:17:00Z,26.531,2,0.0
2015-09-26T21:17:00Z,26.474,2,0.0
2015-09-27T00:17:00Z,26.459,2,0.0
2015-09-27T03:17:00Z,26.373,2,0.0
2015-09-27T06:17:00Z,26.282,2,0.0
2015-09-27T09:17:00Z,26.256,2,0.0
2015-09-27T15:17:00Z,26.222,2,0.0
2015-09-27T18:17:00Z,26.233,2,0.0
2015-09-27T21:17:00Z,26.274,2,0.0
2015-09-28T00:17:00Z,26.328,2,0.0
2015-09-28T03:17:00Z,26.262,2,0.0
2015-09-28T06:17:00Z,26.144,2,0.0
2015-09-28T09:17:00Z,26.243,2,0.0
2015-09-28T12:17:00Z,26.256,2,0.0
2015-09-28T15:17:00Z,26.298,2,0.0
2015-09-28T18:17:00Z,26.436,2,0.0
2015-09-28T21:17:00Z,26.447,2,0.0
2015-09-29T00:17:00Z,26.39,2,0.0
2015-09-29T03:17:00Z,26.391,2,0.0
2015-09-29T06:17:00Z,26.307,2,0.0
2015-09-29T09:17:00Z,26.289,2,0.0
2015-09-29T15:17:00Z,26.473,2,0.0
2015-09-29T18:17:00Z,26.573,2,0.0
2015-09-29T21:17:00Z,26.696,2,0.0
2015-09-30T00:17:00Z,26.464,2,0.0
2015-09-30T03:17:00Z,26.463,2,0.0
2015-09-30T06:17:00Z,26.418,2,0.0
2015-09-30T09:17:00Z,26.358,2,0.0
2015-09-30T12:17:00Z,26.402,2,0.0
2015-09-30T15:17:00Z,26.625,2,0.0
2015-09-30T18:17:00Z,27.122,2,0.0
2015-09-30T21:17:00Z,27.232,2,0.0
2015-10-01T00:17:00Z,26.723,2,0.0
2015-10-01T03:17:00Z,26.592,2,0.0
2015-10-01T06:17:00Z,26.563,2,0.0
2015-10-01T09:17:00Z,26.508,2,0.0
2015-10-01T12:17:00Z,26.565,2,0.0
2015-10-01T15:17:00Z,26.644,2,0.0
2015-10-01T18:17:00Z,26.71,2,0.0
2015-10-01T21:17:00Z,26.623,2,0.0
2015-10-02T00:17:00Z,26.636,2,0.0
2015-10-02T03:17:00Z,26.668,2,0.0
2015-10-02T06:17:00Z,26.668,2,0.0
2015-10-02T09:17:00Z,26.501,2,0.0
2015-10-02T12:17:00Z,26.389,2,0.0
2015-10-02T15:17:00Z,26.417,2,0.0
2015-10-02T18:17:00Z,26.411,2,0.0
2015-10-02T21:17:00Z,26.362,2,0.0
2015-10-03T00:17:00Z,26.187,2,0.0
2015-10-03T03:17:00Z,26.161,2,0.0
2015-10-03T06:17:00Z,26.104,2,0.0
2015-10-03T09:17:00Z,26.041,2,0.0
2015-10-03T12:17:00Z,25.989,2,0.0
2015-10-03T15:17:00Z,26.037,2,0.0
2015-10-03T18:17:00Z,26.046,2,0.0
2015-10-03T21:17:00Z,25.894,2,0.0
2015-10-04T00:17:00Z,25.875,2,0.0
2015-10-04T03:17:00Z,25.815,2,0.0
2015-10-04T06:17:00Z,25.803,2,0.0
2015-10-04T09:17:00Z,25.719,2,0.0
2015-10-04T12:17:00Z,25.691,2,0.0
2015-10-04T15:17:00Z,25.69,2,0.0
2015-10-04T18:17:00Z,25.777,2,0.0
2015-10-04T21:17:00Z,25.722,2,0.0
2015-10-05T00:17:00Z,25.659,2,0.0
2015-10-05T03:17:00Z,25.666,2,0.0
2015-10-05T06:17:00Z,25.715,2,0.0
2015-10-05T09:17:00Z,25.686,2,0.0
2015-10-05T12:17:00Z,25.429,2,0.0
2015-10-05T15:17:00Z,25.507,2,0.0
2015-10-05T18:17:00Z,25.52,2,0.0
2015-10-05T21:17:00Z,25.492,2,0.0
2015-10-06T00:17:00Z,25.333,2,0.0
2015-10-06T03:17:00Z,25.291,2,0.0
2015-10-06T06:17:00Z,25.219,2,0.0
2015-10-06T09:17:00Z,25.208,2,0.0
2015-10-06T12:17:00Z,25.143,2,0.0
2015-10-06T15:17:00Z,24.982,2,0.0
2015-10-06T18:17:00Z,24.949,2,0.0
2015-10-06T21:17:00Z,24.934,2,0.0
2015-10-07T00:17:00Z,24.886,2,0.0
2015-10-07T03:17:00Z,24.864,2,0.0
2015-10-07T06:17:00Z,24.908,2,0.0
2015-10-07T09:17:00Z,24.851,2,0.0
2015-10-07T12:17:00Z,24.766,2,0.0
2015-10-07T15:17:00Z,24.748,2,0.0
2015-10-07T18:17:00Z,24.881,2,0.0
2015-10-07T21:17:00Z,24.903,2,0.0
2015-10-08T00:17:00Z,24.817,2,0.0
2015-10-08T03:17:00Z,24.696,2,0.0
2015-10-08T06:17:00Z,24.709,2,0.0
2015-10-08T09:17:00Z,24.664,2,0.0
2015-10-08T12:17:00Z,24.621,2,0.0
2015-10-08T18:17:00Z,24.842,2,0.0
2015-10-08T21:17:00Z,24.907,2,0.0
2015-10-09T00:17:00Z,24.87,2,0.0
2015-10-09T03:17:00Z,24.76,2,0.0
2015-10-09T06:17:00Z,24.796,2,0.0
2015-10-09T09:17:00Z,24.802,2,0.0
2015-10-09T12:17:00Z,24.792,2,0.0
2015-10-09T15:17:00Z,24.702,2,0.0
2015-10-09T18:17:00Z,24.751,2,0.0
2015-10-09T21:17:00Z,25.043,2,0.0
2015-10-10T00:17:00Z,24.83,2,0.0
