time,sea_water_practical_salinity,sea_water_practical_salinity_qc_agg,z
UTC,1e-3,,m
2008-10-16T15:17:00Z,35.897,2,0.0
2008-10-16T18:17:00Z,35.892,2,0.0
2008-10-16T21:17:00Z,35.861,2,0.0
2008-10-17T00:17:00Z,35.909,2,0.0
2008-10-17T03:17:00Z,35.912,2,0.0
2008-10-17T06:17:00Z,35.871,2,0.0
2008-10-17T09:17:00Z,35.863,2,0.0
2008-10-17T12:17:00Z,35.922,2,0.0
2008-10-17T15:17:00Z,35.846,2,0.0
2008-10-17T18:17:00Z,35.794,2,0.0
2008-10-17T21:17:00Z,35.766,2,0.0
2008-10-18T00:17:00Z,35.803,2,0.0
2008-10-18T03:17:00Z,35.793,2,0.0
2008-10-18T06:17:00Z,35.82,2,0.0
2008-10-18T09:17:00Z,35.77,2,0.0
2008-10-18T12:17:00Z,35.836,2,0.0
2008-10-18T15:17:00Z,35.885,2,0.0
2008-10-18T18:17:00Z,35.88,2,0.0
2008-10-18T21:17:00Z,35.809,2,0.0
2008-10-19T00:17:00Z,35.805,2,0.0
2008-10-19T03:17:00Z,35.881,2,0.0
2008-10-19T06:17:00Z,35.91,2,0.0
2008-10-19T09:17:00Z,35.923,2,0.0
2008-10-19T12:17:00Z,35.865,2,0.0
2008-10-19T15:17:00Z,35.774,2,0.0
2008-10-19T18:17:00Z,35.805,2,0.0
2008-10-19T21:17:00Z,35.925,2,0.0
2008-10-20T00:17:00Z,35.94,2,0.0
2008-10-20T03:17:00Z,35.953,2,0.0
2008-10-20T06:17:00Z,35.956,2,0.0
2008-10-20T09:17:00Z,35.956,2,0.0
2008-10-20T12:17:00Z,35.959,2,0.0
2008-10-20T15:17:00Z,36.0,2,0.0
2008-10-20T18:17:00Z,36.026,2,0.0
2008-10-20T21:17:00Z,35.967,2,0.0
2008-10-21T00:17:00Z,35.937,2,0.0
2008-10-21T03:17:00Z,35.978,2,0.0
2008-10-21T06:17:00Z,35.99,2,0.0
2008-10-21T09:17:00Z,35.967,2,0.0
2008-10-21T12:17:00Z,35.906,2,0.0
2008-10-21T15:17:00Z,35.952,2,0.0
2008-10-21T18:17:00Z,36.029,2,0.0
2008-10-21T21:17:00Z,35.998,2,0.0
2008-10-22T00:17:00Z,35.922,2,0.0
2008-10-22T03:17:00Z,35.949,2,0.0
2008-10-22T06:17:00Z,35.99,2,0.0
2008-10-22T09:17:00Z,35.969,2,0.0
2008-10-22T12:17:00Z,35.884,2,0.0
2008-10-22T15:17:00Z,35.937,2,0.0
2008-10-22T18:17:00Z,35.992,2,0.0
2008-10-22T21:17:00Z,35.99,2,0.0
2008-10-23T00:17:00Z,35.916,2,0.0
2008-10-23T03:17:00Z,36.008,2,0.0
2008-10-23T06:17:00Z,36.031,2,0.0
2008-10-23T09:17:00Z,36.059,2,0.0
2008-10-23T12:17:00Z,36.078,2,0.0
2008-10-23T15:17:00Z,36.014,2,0.0
2008-10-23T18:17:00Z,36.024,2,0.0
2008-10-23T21:17:00Z,36.057,2,0.0
2008-10-24T00:17:00Z,35.98,2,0.0
2008-10-24T03:17:00Z,35.903,2,0.0
2008-10-24T06:17:00Z,35.902,2,0.0
2008-10-24T09:17:00Z,35.951,2,0.0
2008-10-24T12:17:00Z,35.893,2,0.0
2008-10-24T15:17:00Z,35.908,2,0.0
2008-10-24T18:17:00Z,35.873,2,0.0
2008-10-24T21:17:00Z,35.921,2,0.0
2008-10-25T00:17:00Z,35.864,2,0.0
2008-10-25T03:17:00Z,35.564,2,0.0
2008-10-25T06:17:00Z,35.719,2,0.0
2008-10-25T09:17:00Z,35.829,2,0.0
2008-10-25T12:17:00Z,35.816,2,0.0
2008-10-25T15:17:00Z,35.816,2,0.0
2008-10-25T18:17:00Z,35.857,2,0.0
2008-10-25T21:17:00Z,35.86,2,0.0
2008-10-26T00:17:00Z,35.852,2,0.0
2008-10-26T03:17:00Z,35.848,2,0.0
2008-10-26T06:17:00Z,35.853,2,0.0
2008-10-26T09:17:00Z,35.869,2,0.0
2008-10-26T12:17:00Z,35.863,2,0.0
2008-10-26T15:17:00Z,35.855,2,0.0
2008-10-26T18:17:00Z,35.843,2,0.0
2008-10-26T21:17:00Z,35.871,2,0.0
2008-10-27T00:17:00Z,35.861,2,0.0
2008-10-27T03:17:00Z,35.827,2,0.0
2008-10-27T06:17:00Z,35.825,2,0.0
2008-10-27T09:17:00Z,35.855,2,0.0
2008-10-27T12:17:00Z,35.849,2,0.0
2008-10-27T15:17:00Z,35.803,2,0.0
2008-10-27T18:17:00Z,35.75,2,0.0
2008-10-27T21:17:00Z,35.824,2,0.0
2008-10-28T00:17:00Z,35.833,2,0.0
2008-10-28T03:17:00Z,35.806,2,0.0
2008-10-28T06:17:00Z,35.827,2,0.0
2008-10-28T09:17:00Z,35.905,2,0.0
2008-10-28T12:17:00Z,35.916,2,0.0
2008-10-28T15:17:00Z,35.918,2,0.0
2008-10-28T18:17:00Z,35.917,2,0.0
2008-10-28T21:17:00Z,35.92,2,0.0
2008-10-29T00:17:00Z,35.923,2,0.0
2008-10-29T03:17:00Z,35.934,2,0.0
2008-10-29T06:17:00Z,35.929,2,0.0
2008-10-29T09:17:00Z,35.921,2,0.0
2008-10-29T12:17:00Z,35.925,2,0.0
2008-10-29T15:17:00Z,35.941,2,0.0
2008-10-29T18:17:00Z,35.949,2,0.0
2008-10-29T21:17:00Z,35.951,2,0.0
2008-10-30T00:17:00Z,35.954,2,0.0
2008-10-30T03:17:00Z,35.963,2,0.0
2008-10-30T06:17:00Z,35.959,2,0.0
2008-10-30T09:17:00Z,35.969,2,0.0
2008-10-30T12:17:00Z,35.969,2,0.0
2008-10-30T15:17:00Z,35.976,2,0.0
2008-10-30T18:17:00Z,35.969,2,0.0
2008-10-30T21:17:00Z,35.945,2,0.0
2008-10-31T00:17:00Z,35.947,2,0.0
2008-10-31T03:17:00Z,35.948,2,0.0
2008-10-31T06:17:00Z,35.922,2,0.0
2008-10-31T09:17:00Z,35.927,2,0.0
2008-10-31T12:17:00Z,35.941,2,0.0
2008-10-31T15:17:00Z,35.944,2,0.0
2008-10-31T18:17:00Z,35.936,2,0.0
2008-10-31T21:17:00Z,35.961,2,0.0
2008-11-01T00:17:00Z,35.965,2,0.0
2008-11-01T03:17:00Z,35.97,2,0.0
2008-11-01T06:17:00Z,35.962,2,0.0
2008-11-01T09:17:00Z,35.946,2,0.0
2008-11-01T12:17:00Z,35.926,2,0.0
2008-11-01T15:17:00Z,35.938,2,0.0
2008-11-01T18:17:00Z,35.924,2,0.0
2008-11-01T21:17:00Z,35.896,2,0.0
2008-11-02T00:17:00Z,35.944,2,0.0
2008-11-02T03:17:00Z,35.986,2,0.0
2008-11-02T06:17:00Z,35.971,2,0.0
2008-11-02T09:17:00Z,35.93,2,0.0
2008-11-02T12:17:00Z,35.99,2,0.0
2008-11-02T15:17:00Z,36.037,2,0.0
2008-11-02T18:17:00Z,36.022,2,0.0
2008-11-02T21:17:00Z,35.971,2,0.0
2008-11-03T00:17:00Z,36.015,2,0.0
2008-11-03T03:17:00Z,36.075,2,0.0
2008-11-03T06:17:00Z,36.021,2,0.0
2008-11-03T09:17:00Z,35.963,2,0.0
2008-11-03T12:17:00Z,35.927,2,0.0
2008-11-03T15:17:00Z,36.119,2,0.0
2008-11-03T18:17:00Z,36.181,2,0.0
2008-11-03T21:17:00Z,36.005,2,0.0
2008-11-04T00:17:00Z,35.978,2,0.0
2008-11-04T03:17:00Z,36.111,2,0.0
2008-11-04T06:17:00Z,36.111,2,0.0
2008-11-04T09:17:00Z,36.049,2,0.0
2008-11-04T12:17:00Z,36.088,2,0.0
2008-11-04T15:17:00Z,36.113,2,0.0
2008-11-04T18:17:00Z,36.152,2,0.0
2008-11-04T21:17:00Z,36.016,2,0.0
2008-11-05T00:17:00Z,35.888,2,0.0
2008-11-05T03:17:00Z,35.897,2,0.0
2008-11-05T06:17:00Z,35.942,2,0.0
2008-11-05T09:17:00Z,35.846,2,0.0
2008-11-05T12:17:00Z,35.735,2,0.0
2008-11-05T15:17:00Z,36.188,2,0.0
2008-11-05T18:17:00Z,36.198,2,0.0
2008-11-05T21:17:00Z,36.093,2,0.0
2008-11-06T00:17:00Z,36.119,2,0.0
2008-11-06T03:17:00Z,36.152,2,0.0
2008-11-06T06:17:00Z,36.165,2,0.0
2008-11-06T09:17:00Z,36.161,2,0.0
2008-11-06T12:17:00Z,36.128,2,0.0
2008-11-06T15:17:00Z,36.152,2,0.0
2008-11-06T18:17:00Z,36.181,2,0.0
2008-11-06T21:17:00Z,36.203,2,0.0
2008-11-07T00:17:00Z,35.845,2,0.0
2008-11-07T03:17:00Z,35.737,2,0.0
2008-11-07T06:17:00Z,36.07,2,0.0
2008-11-07T09:17:00Z,35.794,2,0.0
2008-11-07T12:17:00Z,35.431,2,0.0
2008-11-07T15:17:00Z,35.426,2,0.0
2008-11-07T18:17:00Z,35.105,2,0.0
2008-11-07T21:17:00Z,35.321,2,0.0
2008-11-08T00:17:00Z,35.256,2,0.0
2008-11-08T03:17:00Z,35.419,2,0.0
2008-11-08T06:17:00Z,35.555,2,0.0
2008-11-08T09:17:00Z,35.925,2,0.0
2008-11-08T12:17:00Z,35.613,2,0.0
2008-11-08T15:17:00Z,35.656,2,0.0
2008-11-08T18:17:00Z,35.742,2,0.0
2008-11-08T21:17:00Z,35.881,2,0.0
2008-11-09T00:17:00Z,36.003,2,0.0
2008-11-09T03:17:00Z,35.885,2,0.0
2008-11-09T06:17:00Z,35.932,2,0.0
2008-11-09T09:17:00Z,35.817,2,0.0
2008-11-09T12:17:00Z,35.63,2,0.0
2008-11-09T15:17:00Z,35.477,2,0.0
2008-11-09T18:17:00Z,35.529,2,0.0
2008-11-09T21:17:00Z,35.743,2,0.0
2008-11-10T00:17:00Z,35.578,2,0.0
2008-11-10T03:17:00Z,35.262,2,0.0
2008-11-10T06:17:00Z,35.414,2,0.0
2008-11-10T09:17:00Z,35.971,2,0.0
2008-11-10T12:17:00Z,35.878,2,0.0
2008-11-10T15:17:00Z,35.584,2,0.0
2008-11-10T18:17:00Z,35.616,2,0.0
2008-11-10T21:17:00Z,35.779,2,0.0
